instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Fernando,BCCF,11371,510.41,2
Qatar,Fernando,BCCF,26724,687.11,12
Uruguay,Fernando,BCCF,398246,13049.8,44
Western Sahara,Fernando,BCCF,40814,2695.56,2
Zimbabwe,Fernando,BCCF,423290,14182.93,56
