instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Fernando,BT2opt,8326,432.74,2
Qatar,Fernando,BT2opt,13792,4619.33,12
Uruguay,Fernando,BT2opt,693490,28146.35,44
Western Sahara,Fernando,BT2opt,32815,1798.69,2
Zimbabwe,Fernando,BT2opt,1347407,49755.96,56
