instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Fernando,BCGα,10960,332.22,2
Qatar,Fernando,BCGα,37117,553.7,12
Uruguay,Fernando,BCGα,724878,5281.63,44
Western Sahara,Fernando,BCGα,38287,1161.32,2
Zimbabwe,Fernando,BCGα,883958,8623.31,56
