instancia,autoria,algoritmo,q-medio,q-desvio,t-medio
Djibouti,Fernando,BLPM2opt,6706,276.41,0
Qatar,Fernando,BLPM2opt,39959,8452.8,12
Uruguay,Fernando,BLPM2opt,1018014,155259.18,44
Western Sahara,Fernando,BLPM2opt,28451,563.05,0
Zimbabwe,Fernando,BLPM2opt,1463148,248616.64,56
